time,0.xpos,0.ypos,0.zpos,0.xvel,0.yvel,0.zvel,0.mass,1.xpos,1.ypos,1.zpos,1.xvel,1.yvel,1.zvel,1.mass,time_limit,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,0.000000,50000000.000000,-384000000.000000,1250.000000,0.000000,0.000000,73477000000000000786432.000000,5000000000.000000,
1200.000000,0.030397,3.039676,-23.344732,0.000076,0.005066,-0.038908,5970000000000000281018368.000000,1499997.530268,49999753.026574,-384000000.000000,1249.993826,-0.411621,0.000000,73477000000000000786432.000000,5000000000.000000,
2400.000000,0.243168,12.158540,-93.377894,0.000304,0.010132,-0.077814,5970000000000000281018368.000000,2999980.242592,49999012.119671,-384000000.000000,1249.975304,-0.823219,0.000000,73477000000000000786432.000000,5000000000.000000,
3600.000000,0.820664,27.356097,-210.096385,0.000684,0.015197,-0.116716,5970000000000000281018368.000000,4499933.321137,49997777.319410,-384000000.000000,1249.944437,-1.234772,0.000000,73477000000000000786432.000000,5000000000.000000,
4800.000000,1.945180,48.631526,-373.495039,0.001216,0.020262,-0.155614,5970000000000000281018368.000000,5999841.954290,49996048.692645,-384000000.000000,1249.901229,-1.646259,0.000000,73477000000000000786432.000000,5000000000.000000,
6000.000000,3.798936,75.983674,-583.566625,0.001899,0.025325,-0.194504,5970000000000000281018368.000000,7499691.336767,49993826.332944,-384000000.000000,1249.845687,-2.057657,0.000000,73477000000000000786432.000000,5000000000.000000,
7200.000000,6.564047,109.411061,-840.301849,0.002735,0.030387,-0.233386,5970000000000000281018368.000000,8999466.671716,49991110.360567,-384000000.000000,1249.777818,-2.468943,0.000000,73477000000000000786432.000000,5000000000.000000,
8400.000000,10.422499,148.911880,-1143.689357,0.003721,0.035447,-0.272258,5970000000000000281018368.000000,10499153.172822,49987900.922432,-384000000.000000,1249.697632,-2.880096,0.000000,73477000000000000786432.000000,5000000000.000000,
9600.000000,15.556122,194.483993,-1493.715735,0.004860,0.040506,-0.311117,5970000000000000281018368.000000,11998736.066401,49984198.192076,-384000000.000000,1249.605141,-3.291093,0.000000,73477000000000000786432.000000,5000000000.000000,
10800.000000,22.146565,246.124939,-1890.365520,0.006149,0.045562,-0.349963,5970000000000000281018368.000000,13498200.593493,49980002.369606,-384000000.000000,1249.500357,-3.701913,0.000000,73477000000000000786432.000000,5000000000.000000,
12000.000000,30.375269,303.831929,-2333.621193,0.007590,0.050616,-0.388794,5970000000000000281018368.000000,14997532.011943,49975313.681646,-384000000.000000,1249.383296,-4.112532,0.000000,73477000000000000786432.000000,5000000000.000000,
13200.000000,40.423446,367.601846,-2823.463195,0.009182,0.055667,-0.427607,5970000000000000281018368.000000,16496715.598485,49970132.381279,-384000000.000000,1249.253973,-4.522930,0.000000,73477000000000000786432.000000,5000000000.000000,
14400.000000,52.472045,437.431252,-3359.869923,0.010924,0.060715,-0.466401,5970000000000000281018368.000000,17995736.650803,49964458.747973,-384000000.000000,1249.112408,-4.933083,0.000000,73477000000000000786432.000000,5000000000.000000,
15600.000000,66.701736,513.316383,-3942.817742,0.012817,0.065760,-0.505175,5970000000000000281018368.000000,19494580.489597,49958293.087509,-384000000.000000,1248.958621,-5.342971,0.000000,73477000000000000786432.000000,5000000000.000000,
16800.000000,83.292879,595.253154,-4572.280985,0.014860,0.070801,-0.543927,5970000000000000281018368.000000,20993232.460628,49951635.731900,-384000000.000000,1248.792633,-5.752572,0.000000,73477000000000000786432.000000,5000000000.000000,
18000.000000,102.425501,683.237155,-5248.231966,0.017053,0.075838,-0.582654,5970000000000000281018368.000000,22491677.936761,49944487.039301,-384000000.000000,1248.614467,-6.161863,0.000000,73477000000000000786432.000000,5000000000.000000,
19200.000000,124.279269,777.263658,-5970.640982,0.019395,0.080872,-0.621356,5970000000000000281018368.000000,23989902.319986,49936847.393909,-384000000.000000,1248.424149,-6.570823,0.000000,73477000000000000786432.000000,5000000000.000000,
20400.000000,149.033468,877.327615,-6739.476324,0.021887,0.085901,-0.660031,5970000000000000281018368.000000,25487891.043436,49928717.205868,-384000000.000000,1248.221705,-6.979430,0.000000,73477000000000000786432.000000,5000000000.000000,
21600.000000,176.866974,983.423662,-7554.704284,0.024527,0.090925,-0.698677,5970000000000000281018368.000000,26985629.573388,49920096.911151,-384000000.000000,1248.007164,-7.387664,0.000000,73477000000000000786432.000000,5000000000.000000,
22800.000000,207.958233,1095.546114,-8416.289161,0.027316,0.095945,-0.737292,5970000000000000281018368.000000,28483103.411245,49910986.971452,-384000000.000000,1247.780557,-7.795502,0.000000,73477000000000000786432.000000,5000000000.000000,
24000.000000,242.485232,1213.688975,-9324.193276,0.030253,0.100959,-0.775876,5970000000000000281018368.000000,29980298.095509,49901387.874058,-384000000.000000,1247.541914,-8.202923,0.000000,73477000000000000786432.000000,5000000000.000000,
25200.000000,280.625479,1337.845933,-10278.376975,0.033338,0.105968,-0.814425,5970000000000000281018368.000000,31477199.203735,49891300.131718,-384000000.000000,1247.291269,-8.609906,0.000000,73477000000000000786432.000000,5000000000.000000,
26400.000000,322.555975,1468.010367,-11278.798645,0.036570,0.110972,-0.852939,5970000000000000281018368.000000,32973792.354469,49880724.282516,-384000000.000000,1247.028657,-9.016431,0.000000,73477000000000000786432.000000,5000000000.000000,
27600.000000,368.453196,1604.175344,-12325.414720,0.039949,0.115969,-0.891415,5970000000000000281018368.000000,34470063.209168,49869660.889718,-384000000.000000,1246.754115,-9.422475,0.000000,73477000000000000786432.000000,5000000000.000000,
28800.000000,418.493065,1746.333624,-13418.179695,0.043475,0.120960,-0.929853,5970000000000000281018368.000000,35965997.474101,49858110.541633,-384000000.000000,1246.467681,-9.828019,0.000000,73477000000000000786432.000000,5000000000.000000,
30000.000000,472.850929,1894.477658,-14557.046134,0.047146,0.125945,-0.968251,5970000000000000281018368.000000,37461580.902232,49846073.851453,-384000000.000000,1246.169394,-10.233042,0.000000,73477000000000000786432.000000,5000000000.000000,
31200.000000,531.701540,2048.599596,-15741.964687,0.050963,0.130923,-1.006606,5970000000000000281018368.000000,38956799.295081,49833551.457095,-384000000.000000,1245.859296,-10.637523,0.000000,73477000000000000786432.000000,5000000000.000000,
32400.000000,595.219028,2208.691284,-16972.884098,0.054924,0.135895,-1.044919,5970000000000000281018368.000000,40451638.504570,49820544.021032,-384000000.000000,1245.537429,-11.041442,0.000000,73477000000000000786432.000000,5000000000.000000,
33600.000000,663.576881,2374.744269,-18249.751220,0.059030,0.140859,-1.083186,5970000000000000281018368.000000,41946084.434837,49807052.230124,-384000000.000000,1245.203838,-11.444778,0.000000,73477000000000000786432.000000,5000000000.000000,
34800.000000,736.947922,2546.749799,-19572.511027,0.063279,0.145816,-1.121406,5970000000000000281018368.000000,43440123.044042,49793076.795438,-384000000.000000,1244.858568,-11.847511,0.000000,73477000000000000786432.000000,5000000000.000000,
36000.000000,815.504286,2724.698827,-20941.106628,0.067672,0.150765,-1.159578,5970000000000000281018368.000000,44933740.346134,49778618.452066,-384000000.000000,1244.501667,-12.249622,0.000000,73477000000000000786432.000000,5000000000.000000,
37200.000000,899.417402,2908.582012,-22355.479284,0.072207,0.155706,-1.197701,5970000000000000281018368.000000,46426922.412614,49763677.958932,-384000000.000000,1244.133184,-12.651091,0.000000,73477000000000000786432.000000,5000000000.000000,
38400.000000,988.857967,3098.389722,-23815.568416,0.076884,0.160639,-1.235772,5970000000000000281018368.000000,47919655.374254,49748256.098601,-384000000.000000,1243.753168,-13.051898,0.000000,73477000000000000786432.000000,5000000000.000000,
