time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
0.000000,0.000000,10000000.000000,7000.000000,0.000000,100000000000000004764729344.000000,1000000.000000,1.000000,
1.000000,6999.992215,9999966.634967,6999.976644,-66.730132,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
2.000000,13999.937718,9999866.539472,6999.906576,-133.461057,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
3.000000,20999.789796,9999699.712325,6999.789793,-200.193566,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
4.000000,27999.501730,9999466.151547,6999.626288,-266.928454,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
5.000000,34999.026795,9999165.854361,6999.416053,-333.666511,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
6.000000,41998.318256,9998798.817202,6999.159078,-400.408533,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
7.000000,48997.329367,9998365.035710,6998.855352,-467.155311,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
8.000000,55996.013370,9997864.504730,6998.504857,-533.907640,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
9.000000,62994.323488,9997297.218316,6998.107579,-600.666312,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
10.000000,69992.212926,9996663.169726,6997.663496,-667.432124,100000000000000004764729344.000000,1000000.000000,-642800000.000000,
11.000000,76989.634872,9995962.351424,6997.172588,-734.205869,100000000000000004764729344.000000,1000000.000000,-642799999.999999,
12.000000,83986.542486,9995194.755078,6996.634830,-800.988343,100000000000000004764729344.000000,1000000.000000,-642799999.999999,
13.000000,90982.888907,9994360.371563,6996.050196,-867.780342,100000000000000004764729344.000000,1000000.000000,-642799999.999999,
14.000000,97978.627244,9993459.190954,6995.418657,-934.582662,100000000000000004764729344.000000,1000000.000000,-642799999.999999,
15.000000,104973.710576,9992491.202533,6994.740182,-1001.396100,100000000000000004764729344.000000,1000000.000000,-642799999.999999,
16.000000,111968.091952,9991456.394781,6994.014738,-1068.221456,100000000000000004764729344.000000,1000000.000000,-642799999.999999,
17.000000,118961.724384,9990354.755383,6993.242289,-1135.059526,100000000000000004764729344.000000,1000000.000000,-642799999.999998,
18.000000,125954.560850,9989186.271224,6992.422798,-1201.911111,100000000000000004764729344.000000,1000000.000000,-642799999.999998,
19.000000,132946.554285,9987950.928390,6991.556223,-1268.777011,100000000000000004764729344.000000,1000000.000000,-642799999.999998,
20.000000,139937.657587,9986648.712164,6990.642522,-1335.658028,100000000000000004764729344.000000,1000000.000000,-642799999.999998,
21.000000,146927.823607,9985279.607028,6989.681651,-1402.554964,100000000000000004764729344.000000,1000000.000000,-642799999.999998,
22.000000,153917.005150,9983843.596662,6988.673562,-1469.468622,100000000000000004764729344.000000,1000000.000000,-642799999.999997,
23.000000,160905.154975,9982340.663942,6987.618205,-1536.399807,100000000000000004764729344.000000,1000000.000000,-642799999.999997,
24.000000,167892.225787,9980770.790939,6986.515528,-1603.349324,100000000000000004764729344.000000,1000000.000000,-642799999.999997,
25.000000,174878.170240,9979133.958915,6985.365477,-1670.317981,100000000000000004764729344.000000,1000000.000000,-642799999.999997,
26.000000,181862.940931,9977430.148328,6984.167995,-1737.306585,100000000000000004764729344.000000,1000000.000000,-642799999.999997,
27.000000,188846.490400,9975659.338825,6982.923023,-1804.315947,100000000000000004764729344.000000,1000000.000000,-642799999.999997,
28.000000,195828.771126,9973821.509246,6981.630499,-1871.346876,100000000000000004764729344.000000,1000000.000000,-642799999.999996,
29.000000,202809.735526,9971916.637614,6980.290359,-1938.400185,100000000000000004764729344.000000,1000000.000000,-642799999.999996,
30.000000,209789.335951,9969944.701145,6978.902538,-2005.476688,100000000000000004764729344.000000,1000000.000000,-642799999.999996,
31.000000,216767.524685,9967905.676236,6977.466965,-2072.577199,100000000000000004764729344.000000,1000000.000000,-642799999.999995,
32.000000,223744.253941,9965799.538471,6975.983571,-2139.702537,100000000000000004764729344.000000,1000000.000000,-642799999.999995,
33.000000,230719.475862,9963626.262614,6974.452281,-2206.853519,100000000000000004764729344.000000,1000000.000000,-642799999.999995,
34.000000,237693.142512,9961385.822612,6972.873019,-2274.030965,100000000000000004764729344.000000,1000000.000000,-642799999.999994,
35.000000,244665.205883,9959078.191588,6971.245707,-2341.235698,100000000000000004764729344.000000,1000000.000000,-642799999.999994,
36.000000,251635.617882,9956703.341846,6969.570263,-2408.468541,100000000000000004764729344.000000,1000000.000000,-642799999.999994,
37.000000,258604.330338,9954261.244862,6967.846605,-2475.730319,100000000000000004764729344.000000,1000000.000000,-642799999.999993,
38.000000,265571.294992,9951751.871286,6966.074646,-2543.021861,100000000000000004764729344.000000,1000000.000000,-642799999.999993,
39.000000,272536.463499,9949175.190942,6964.254297,-2610.343996,100000000000000004764729344.000000,1000000.000000,-642799999.999992,
40.000000,279499.787426,9946531.172821,6962.385469,-2677.697554,100000000000000004764729344.000000,1000000.000000,-642799999.999992,
41.000000,286461.218246,9943819.785081,6960.468067,-2745.083371,100000000000000004764729344.000000,1000000.000000,-642799999.999992,
42.000000,293420.707336,9941040.995047,6958.501994,-2812.502282,100000000000000004764729344.000000,1000000.000000,-642799999.999991,
43.000000,300378.205979,9938194.769206,6956.487154,-2879.955124,100000000000000004764729344.000000,1000000.000000,-642799999.999991,
44.000000,307333.665354,9935281.073207,6954.423444,-2947.442739,100000000000000004764729344.000000,1000000.000000,-642799999.999990,
45.000000,314287.036542,9932299.871857,6952.310761,-3014.965968,100000000000000004764729344.000000,1000000.000000,-642799999.999990,
46.000000,321238.270517,9929251.129117,6950.148998,-3082.525658,100000000000000004764729344.000000,1000000.000000,-642799999.999989,
47.000000,328187.318143,9926134.808105,6947.938047,-3150.122654,100000000000000004764729344.000000,1000000.000000,-642799999.999989,
48.000000,335134.130178,9922950.871090,6945.677796,-3217.757808,100000000000000004764729344.000000,1000000.000000,-642799999.999988,
