time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
0.000000,5000000.000000,0.000000,0.000000,50000.000000,100000000000000004764729344.000000,1000000.000000,10.000000,
10.000000,4986675.451781,499555.908988,-2660.641913,49867.063165,100000000000000004764729344.000000,1000000.000000,-84600019.653003,
20.000000,4946956.156634,996473.779554,-5270.756352,49474.428321,100000000000000004764729344.000000,1000000.000000,-84600055.105441,
30.000000,4881584.788038,1488236.438765,-7783.838873,48839.836896,100000000000000004764729344.000000,1000000.000000,-84600101.114993,
40.000000,4791734.678895,1972553.399540,-10160.724194,47990.433763,100000000000000004764729344.000000,1000000.000000,-84600151.152379,
50.000000,4678924.735781,2447440.141378,-12371.701435,46959.720413,100000000000000004764729344.000000,1000000.000000,-84600199.273690,
60.000000,4544920.030639,2911265.101905,-14397.264455,45784.247166,100000000000000004764729344.000000,1000000.000000,-84600241.361442,
70.000000,4391631.188730,3362764.679552,-16227.648151,44500.602333,100000000000000004764729344.000000,1000000.000000,-84600275.462514,
80.000000,4221023.061138,3801031.229592,-17861.502591,43143.063425,100000000000000004764729344.000000,1000000.000000,-84600301.424129,
90.000000,4035039.246120,4225481.550271,-19304.115519,41742.050144,100000000000000004764729344.000000,1000000.000000,-84600320.223597,
100.000000,3835545.111255,4635813.785094,-20565.541070,40323.336322,100000000000000004764729344.000000,1000000.000000,-84600333.323558,
110.000000,3624288.909054,5031959.637155,-21658.884006,38907.870634,100000000000000004764729344.000000,1000000.000000,-84600342.217139,
120.000000,3402878.669034,5414037.058146,-22598.874093,37512.019847,100000000000000004764729344.000000,1000000.000000,-84600348.184767,
130.000000,3172771.688200,5782306.746028,-23400.773269,36148.061069,100000000000000004764729344.000000,1000000.000000,-84600352.211511,
140.000000,2935273.341142,6137134.222146,-24079.598413,34824.786126,100000000000000004764729344.000000,1000000.000000,-84600354.998436,
150.000000,2691542.277862,6478958.101191,-24649.611726,33548.123281,100000000000000004764729344.000000,1000000.000000,-84600357.015005,
160.000000,2442599.621373,6808264.411881,-25124.020685,32321.718668,100000000000000004764729344.000000,1000000.000000,-84600358.559995,
170.000000,2189340.352802,7125566.398642,-25514.831909,31147.447975,100000000000000004764729344.000000,1000000.000000,-84600359.815173,
180.000000,1932545.589372,7431389.042322,-25832.811665,30025.847985,100000000000000004764729344.000000,1000000.000000,-84600360.886590,
190.000000,1672894.883408,7726257.497401,-26087.515793,28956.469175,100000000000000004764729344.000000,1000000.000000,-84600361.833704,
200.000000,1410977.993499,8010688.689790,-26287.361472,27938.156758,100000000000000004764729344.000000,1000000.000000,-84600362.688659,
210.000000,1147305.813039,8285185.408533,-26439.721302,26969.270172,100000000000000004764729344.000000,1000000.000000,-84600363.468410,
220.000000,882320.303428,8550232.328379,-26551.026526,26047.851478,100000000000000004764729344.000000,1000000.000000,-84600364.181977,
230.000000,616403.386332,8806293.502135,-26626.870891,25171.752453,100000000000000004764729344.000000,1000000.000000,-84600364.834581,
240.000000,349884.816601,9053810.953711,-26672.110018,24338.728949,100000000000000004764729344.000000,1000000.000000,-84600365.429874,
250.000000,83049.096637,9293204.081628,-26690.953412,23546.509714,100000000000000004764729344.000000,1000000.000000,-84600365.971037,
260.000000,-183858.486652,9524869.647997,-26687.047805,22792.845542,100000000000000004764729344.000000,1000000.000000,-84600366.461254,
270.000000,-450626.613204,9749182.180731,-26663.551476,22075.543463,100000000000000004764729344.000000,1000000.000000,-84600366.903860,
280.000000,-717073.380024,9966494.658506,-26623.199780,21392.489644,100000000000000004764729344.000000,1000000.000000,-84600367.302328,
290.000000,-983042.365082,10177139.380723,-26568.362461,20741.663908,100000000000000004764729344.000000,1000000.000000,-84600367.660195,
300.000000,-1248399.226305,10381428.950022,-26501.093493,20121.148049,100000000000000004764729344.000000,1000000.000000,-84600367.980978,
310.000000,-1513028.764837,10579657.314259,-26423.174225,19529.129652,100000000000000004764729344.000000,1000000.000000,-84600368.268093,
320.000000,-1776832.389656,10772100.829666,-26336.150632,18963.902693,100000000000000004764729344.000000,1000000.000000,-84600368.524800,
330.000000,-2039725.928306,10959019.318011,-26241.365411,18423.865880,100000000000000004764729344.000000,1000000.000000,-84600368.754156,
340.000000,-2301637.735645,11140657.098955,-26139.985593,17907.519454,100000000000000004764729344.000000,1000000.000000,-84600368.958994,
350.000000,-2562507.058937,11317243.985032,-26033.026293,17413.460987,100000000000000004764729344.000000,1000000.000000,-84600369.141916,
360.000000,-2822282.623356,11488996.231264,-25921.371131,16940.380566,100000000000000004764729344.000000,1000000.000000,-84600369.305284,
370.000000,-3080921.407006,11656117.434792,-25805.789786,16487.055655,100000000000000004764729344.000000,1000000.000000,-84600369.451235,
380.000000,-3338387.578951,11818799.382351,-25686.953103,16052.345831,100000000000000004764729344.000000,1000000.000000,-84600369.581690,
390.000000,-3594651.577535,11977222.845130,-25565.446102,15635.187543,100000000000000004764729344.000000,1000000.000000,-84600369.698367,
400.000000,-3849689.309515,12131558.321797,-25441.779180,15234.588998,100000000000000004764729344.000000,1000000.000000,-84600369.802798,
410.000000,-4103481.453374,12281966.731276,-25316.397779,14849.625238,100000000000000004764729344.000000,1000000.000000,-84600369.896349,
420.000000,-4356012.852515,12428600.057416,-25189.690734,14479.433444,100000000000000004764729344.000000,1000000.000000,-84600369.980230,
430.000000,-4607271.986134,12571601.947999,-25061.997487,14123.208504,100000000000000004764729344.000000,1000000.000000,-84600370.055516,
440.000000,-4857250.507273,12711108.270739,-24933.614333,13780.198845,100000000000000004764729344.000000,1000000.000000,-84600370.123157,
450.000000,-5105942.839078,12847247.628957,-24804.799836,13449.702535,100000000000000004764729344.000000,1000000.000000,-84600370.183996,
460.000000,-5353345.821522,12980141.839630,-24675.779527,13131.063653,100000000000000004764729344.000000,1000000.000000,-84600370.238777,
470.000000,-5599458.401972,13109906.376434,-24546.749988,12823.668918,100000000000000004764729344.000000,1000000.000000,-84600370.288162,
