time,0.xpos,0.ypos,0.xvel,0.yvel,0.mass,1.xpos,1.ypos,1.xvel,1.yvel,1.mass,2.xpos,2.ypos,2.xvel,2.yvel,2.mass,time_limit,
0.000000,0.000000,0.000000,0.000000,0.000000,5999999999999999899336704.000000,384400000.000000,0.000000,0.000000,1000.000000,72999999999999997902848.000000,7000000.000000,0.000000,10350.000000,2750.000000,20000.000000,1000000000.000000,
10.000000,0.001648,0.000000,0.000330,0.000000,5999999999999999899336704.000000,384399999.864520,9999.999999,-0.027096,1000.000000,72999999999999997902848.000000,7103095.427369,27499.476665,10269.478228,2749.844131,20000.000000,1000000000.000000,
20.000000,0.006593,0.000000,0.000659,0.000000,5999999999999999899336704.000000,384399999.458080,19999.999991,-0.054192,999.999999,72999999999999997902848.000000,7205397.225832,54995.902714,10191.255193,2749.394189,20000.000000,1000000000.000000,
30.000000,0.014835,0.000000,0.000989,0.000000,5999999999999999899336704.000000,384399998.780679,29999.999968,-0.081288,999.999997,72999999999999997902848.000000,7306927.825042,82486.462747,10115.220628,2748.674848,20000.000000,1000000000.000000,
40.000000,0.026373,0.000001,0.001319,0.000000,5999999999999999899336704.000000,384399997.832318,39999.999925,-0.108384,999.999994,72999999999999997902848.000000,7407708.589187,109968.576771,10041.271599,2747.708556,20000.000000,1000000000.000000,
50.000000,0.041209,0.000002,0.001648,0.000000,5999999999999999899336704.000000,384399996.612997,49999.999853,-0.135480,999.999991,72999999999999997902848.000000,7507759.887147,137439.879117,9969.311881,2746.515766,20000.000000,1000000000.000000,
60.000000,0.059340,0.000003,0.001978,0.000000,5999999999999999899336704.000000,384399995.122715,59999.999746,-0.162576,999.999987,72999999999999997902848.000000,7607101.156792,164898.199531,9899.251409,2745.115141,20000.000000,1000000000.000000,
70.000000,0.080769,0.000005,0.002308,0.000000,5999999999999999899336704.000000,384399993.361474,69999.999597,-0.189672,999.999983,72999999999999997902848.000000,7705750.964023,192341.546174,9831.005776,2743.523729,20000.000000,1000000000.000000,
80.000000,0.105494,0.000007,0.002637,0.000000,5999999999999999899336704.000000,384399991.329272,79999.999398,-0.216768,999.999977,72999999999999997902848.000000,7803727.057064,219768.090322,9764.495782,2741.757128,20000.000000,1000000000.000000,
90.000000,0.133516,0.000010,0.002967,0.000000,5999999999999999899336704.000000,384399989.026109,89999.999144,-0.243864,999.999971,72999999999999997902848.000000,7901046.416472,247176.152559,9699.647028,2739.829626,20000.000000,1000000000.000000,
100.000000,0.164834,0.000014,0.003297,0.000000,5999999999999999899336704.000000,384399986.451987,99999.998825,-0.270960,999.999965,72999999999999997902848.000000,7997725.301257,274564.190313,9636.389546,2737.754323,20000.000000,1000000000.000000,
110.000000,0.199449,0.000019,0.003626,0.000001,5999999999999999899336704.000000,384399983.606904,109999.998436,-0.298056,999.999957,72999999999999997902848.000000,8093779.291495,301930.786566,9574.657463,2735.543247,20000.000000,1000000000.000000,
120.000000,0.237361,0.000025,0.003956,0.000001,5999999999999999899336704.000000,384399980.490861,119999.997970,-0.325152,999.999949,72999999999999997902848.000000,8189223.327740,329274.639632,9514.388700,2733.207451,20000.000000,1000000000.000000,
130.000000,0.278570,0.000031,0.004286,0.000001,5999999999999999899336704.000000,384399977.103858,129999.997419,-0.352248,999.999940,72999999999999997902848.000000,8284071.747534,356594.553872,9455.524691,2730.757107,20000.000000,1000000000.000000,
140.000000,0.323075,0.000039,0.004615,0.000001,5999999999999999899336704.000000,384399973.445894,139999.996776,-0.379344,999.999931,72999999999999997902848.000000,8378338.319268,383889.431254,9398.010129,2728.201578,20000.000000,1000000000.000000,
150.000000,0.370877,0.000048,0.004945,0.000001,5999999999999999899336704.000000,384399969.516970,149999.996035,-0.406440,999.999921,72999999999999997902848.000000,8472036.273624,411158.263680,9341.792743,2725.549497,20000.000000,1000000000.000000,
160.000000,0.421975,0.000059,0.005275,0.000001,5999999999999999899336704.000000,384399965.317086,159999.995188,-0.433536,999.999910,72999999999999997902848.000000,8565178.332812,438400.125981,9286.823077,2722.808828,20000.000000,1000000000.000000,
170.000000,0.476371,0.000070,0.005604,0.000001,5999999999999999899336704.000000,384399960.846242,169999.994228,-0.460632,999.999898,72999999999999997902848.000000,8657776.737785,465614.169532,9233.054304,2719.986925,20000.000000,1000000000.000000,
180.000000,0.534063,0.000083,0.005934,0.000001,5999999999999999899336704.000000,384399956.104437,179999.993148,-0.487728,999.999886,72999999999999997902848.000000,8749843.273598,492799.616412,9180.442044,2717.090583,20000.000000,1000000000.000000,
190.000000,0.595051,0.000098,0.006264,0.000002,5999999999999999899336704.000000,384399951.091672,189999.991942,-0.514824,999.999873,72999999999999997902848.000000,8841389.293073,519955.754070,9128.944202,2714.126087,20000.000000,1000000000.000000,
200.000000,0.659337,0.000114,0.006593,0.000002,5999999999999999899336704.000000,384399945.807947,199999.990601,-0.541921,999.999859,72999999999999997902848.000000,8932425.738892,547081.930429,9078.520823,2711.099255,20000.000000,1000000000.000000,
210.000000,0.726919,0.000132,0.006923,0.000002,5999999999999999899336704.000000,384399940.253262,209999.989120,-0.569017,999.999845,72999999999999997902848.000000,9022963.164262,574177.549403,9029.133945,2708.015475,20000.000000,1000000000.000000,
220.000000,0.797797,0.000152,0.007253,0.000002,5999999999999999899336704.000000,384399934.427616,219999.987491,-0.596113,999.999829,72999999999999997902848.000000,9113011.752245,601242.066785,8980.747480,2704.879738,20000.000000,1000000000.000000,
230.000000,0.871973,0.000174,0.007582,0.000002,5999999999999999899336704.000000,384399928.331011,229999.985706,-0.623209,999.999814,72999999999999997902848.000000,9202581.333873,628274.986459,8933.327091,2701.696676,20000.000000,1000000000.000000,
240.000000,0.949445,0.000198,0.007912,0.000002,5999999999999999899336704.000000,384399921.963445,239999.983759,-0.650305,999.999797,72999999999999997902848.000000,9291681.405128,655275.856927,8886.840088,2698.470587,20000.000000,1000000000.000000,
250.000000,1.030213,0.000223,0.008242,0.000003,5999999999999999899336704.000000,384399915.324918,249999.981643,-0.677401,999.999780,72999999999999997902848.000000,9380321.142883,682244.268102,8841.255324,2695.205459,20000.000000,1000000000.000000,
260.000000,1.114279,0.000251,0.008571,0.000003,5999999999999999899336704.000000,384399908.415432,259999.979351,-0.704497,999.999762,72999999999999997902848.000000,9468509.419874,709179.848360,8796.543102,2691.904998,20000.000000,1000000000.000000,
270.000000,1.201641,0.000281,0.008901,0.000003,5999999999999999899336704.000000,384399901.234985,269999.976876,-0.731593,999.999743,72999999999999997902848.000000,9556254.818775,736082.261812,8752.675093,2688.572651,20000.000000,1000000000.000000,
280.000000,1.292300,0.000314,0.009231,0.000003,5999999999999999899336704.000000,384399893.783578,279999.974210,-0.758689,999.999724,72999999999999997902848.000000,9643565.645444,762951.205798,8709.624251,2685.211620,20000.000000,1000000000.000000,
290.000000,1.386255,0.000349,0.009560,0.000004,5999999999999999899336704.000000,384399886.061211,289999.971347,-0.785785,999.999704,72999999999999997902848.000000,9730449.941399,789786.408560,8667.364741,2681.824885,20000.000000,1000000000.000000,
300.000000,1.483507,0.000386,0.009890,0.000004,5999999999999999899336704.000000,384399878.067884,299999.968280,-0.812881,999.999683,72999999999999997902848.000000,9816915.495573,816587.627095,8625.871871,2678.415220,20000.000000,1000000000.000000,
310.000000,1.584056,0.000426,0.010220,0.000004,5999999999999999899336704.000000,384399869.803596,309999.965001,-0.839977,999.999661,72999999999999997902848.000000,9902969.855405,843354.645166,8585.122023,2674.985208,20000.000000,1000000000.000000,
320.000000,1.687902,0.000468,0.010549,0.000004,5999999999999999899336704.000000,384399861.268349,319999.961504,-0.867073,999.999639,72999999999999997902848.000000,9988620.337306,870087.271466,8545.092600,2671.537253,20000.000000,1000000000.000000,
330.000000,1.795044,0.000514,0.010879,0.000005,5999999999999999899336704.000000,384399852.462141,329999.957781,-0.894169,999.999616,72999999999999997902848.000000,10073874.036553,896785.337906,8505.761963,2668.073596,20000.000000,1000000000.000000,
340.000000,1.905483,0.000562,0.011209,0.000005,5999999999999999899336704.000000,384399843.384973,339999.953825,-0.921265,999.999593,72999999999999997902848.000000,10158737.836630,923448.698034,8467.109384,2664.596327,20000.000000,1000000000.000000,
350.000000,2.019218,0.000613,0.011538,0.000005,5999999999999999899336704.000000,384399834.036845,349999.949630,-0.948361,999.999568,72999999999999997902848.000000,10243218.418079,950077.225567,8429.114995,2661.107391,20000.000000,1000000000.000000,
360.000000,2.136251,0.000667,0.011868,0.000006,5999999999999999899336704.000000,384399824.417756,359999.945188,-0.975457,999.999543,72999999999999997902848.000000,10327322.266870,976670.813025,8391.759742,2657.608604,20000.000000,1000000000.000000,
370.000000,2.256580,0.000724,0.012198,0.000006,5999999999999999899336704.000000,384399814.527708,369999.940492,-1.002553,999.999518,72999999999999997902848.000000,10411055.682329,1003229.370461,8355.025344,2654.101659,20000.000000,1000000000.000000,
380.000000,2.380205,0.000784,0.012527,0.000006,5999999999999999899336704.000000,384399804.366699,379999.935535,-1.029649,999.999491,72999999999999997902848.000000,10494424.784658,1029752.824285,8318.894250,2650.588135,20000.000000,1000000000.000000,
390.000000,2.507127,0.000848,0.012857,0.000007,5999999999999999899336704.000000,384399793.934730,389999.930311,-1.056745,999.999464,72999999999999997902848.000000,10577435.522069,1056241.116162,8283.349607,2647.069506,20000.000000,1000000000.000000,
400.000000,2.637346,0.000915,0.013187,0.000007,5999999999999999899336704.000000,384399783.231801,399999.924812,-1.083841,999.999436,72999999999999997902848.000000,10660093.677545,1082694.201991,8248.375217,2643.547147,20000.000000,1000000000.000000,
410.000000,2.770862,0.000985,0.013516,0.000007,5999999999999999899336704.000000,384399772.257912,409999.919030,-1.110937,999.999408,72999999999999997902848.000000,10742404.875274,1109112.050953,8213.955513,2640.022340,20000.000000,1000000000.000000,
420.000000,2.907674,0.001059,0.013846,0.000008,5999999999999999899336704.000000,384399761.013063,419999.912960,-1.138033,999.999378,72999999999999997902848.000000,10824374.586754,1135494.644622,8180.075520,2636.496281,20000.000000,1000000000.000000,
430.000000,3.047783,0.001136,0.014176,0.000008,5999999999999999899336704.000000,384399749.497253,429999.906594,-1.165129,999.999348,72999999999999997902848.000000,10906008.136601,1161841.976136,8146.720831,2632.970088,20000.000000,1000000000.000000,
440.000000,3.191189,0.001218,0.014505,0.000008,5999999999999999899336704.000000,384399737.710484,439999.899924,-1.192225,999.999318,72999999999999997902848.000000,10987310.708074,1188154.049425,8113.877577,2629.444804,20000.000000,1000000000.000000,
450.000000,3.337891,0.001303,0.014835,0.000009,5999999999999999899336704.000000,384399725.652754,449999.892945,-1.219321,999.999286,72999999999999997902848.000000,11068287.348333,1214430.878489,8081.532403,2625.921400,20000.000000,1000000000.000000,
460.000000,3.487891,0.001391,0.015165,0.000009,5999999999999999899336704.000000,384399713.324064,459999.885648,-1.246417,999.999254,72999999999999997902848.000000,11148942.973450,1240672.486721,8049.672443,2622.400784,20000.000000,1000000000.000000,
470.000000,3.641186,0.001484,0.015494,0.000009,5999999999999999899336704.000000,384399700.724414,469999.878027,-1.273513,999.999221,72999999999999997902848.000000,11229282.373181,1266878.906280,8018.285297,2618.883801,20000.000000,1000000000.000000,
480.000000,3.797779,0.001581,0.015824,0.000010,5999999999999999899336704.000000,384399687.853805,479999.870074,-1.300609,999.999188,72999999999999997902848.000000,11309310.215514,1293050.177502,7987.359007,2615.371243,20000.000000,1000000000.000000,
490.000000,3.957668,0.001682,0.016154,0.000010,5999999999999999899336704.000000,384399674.712234,489999.861784,-1.327705,999.999154,72999999999999997902848.000000,11389031.051016,1319186.348343,7956.882043,2611.863844,20000.000000,1000000000.000000,
